,artist,title
0,Jack Harlow,Lovin On Me
1,Taylor Swift,Cruel Summer
2,Tate McRae,Greedy
3,Doja Cat,Paint The Town Red
4,Zach Bryan Featuring Kacey Musgraves,I Remember Everything
5,SZA,Snooze
6,Tyla,Water
7,Morgan Wallen,Last Night
8,Luke Combs,Fast Car
9,Doja Cat,Agora Hills
10,Morgan Wallen,Thinkin' Bout Me
11,Teddy Swims,Lose Control
12,Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
13,Paul Russell,Lil Boo Thang
14,Miley Cyrus,Flowers
15,Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
16,Nicki Minaj,FTCU
17,Chris Stapleton,White Horse
18,Noah Kahan,Stick Season
19,Billie Eilish,What Was I Made For?
20,Olivia Rodrigo,Vampire
21,Jelly Roll,Need A Favor
22,Dua Lipa,Dance The Night
23,Gunna,Fukumean
24,Nate Smith,World On Fire
25,Dua Lipa,Houdini
26,Nicki Minaj Featuring Lil Uzi Vert,Everybody
27,Jelly Roll With Lainey Wilson,Save Me
28,Drake Featuring J. Cole,First Person Shooter
29,Miley Cyrus,Used To Be Young
30,SZA,Kill Bill
31,"Usher, Summer Walker & 21 Savage",Good Good
32,Warren Zeiders,Pretty Little Poison
33,Xavi,La Diabla
34,Victoria Monet,On My Mama
35,HARDY,Truck Bed
36,Mitski,My Love Mine All Mine
37,Dan + Shay,Save Me The Trouble
38,Tate McRae,Exes
39,Travis Scott,I Know ?
40,Jessie Murph & Jelly Roll,Wild Ones
41,Kenya Grace,Strangers
42,Bad Bunny,Monaco
43,JID Featuring 21 Savage & Baby Tate,Surround Sound
44,Cody Johnson,The Painter
45,Olivia Rodrigo,Get Him Back!
46,Flo Milli,Never Lose Me
47,Noah Kahan With Post Malone,Dial Drunk
48,Luke Combs,Where The Wild Things Are
49,Drake,You Broke My Heart
50,Drake Featuring Yeat,IDGAF
51,Fuerza Regida & Marshmello,Harley Quinn
52,Parker McCollum,Burn It Down
53,Peso Pluma & Anitta,Bellakeo
54,Xavi,La Victima
55,Sabrina Carpenter,Feather
56,Lil Tecca,500lbs
57,Karol G & Peso Pluma,Qlona
58,Kane Brown,I Can Feel It
59,Zach Bryan Featuring The War And Treaty,Hey Driver
60,Taylor Swift,You're Losing Me (From The Vault)
61,George Birge,Mind On You
62,Olivia Rodrigo,Can't Catch Me Now
63,Riley Green Featuring Luke Combs,Different 'Round Here
64,Maluma & Carin Leon,Segun Quien
65,Morgan Wallen Featuring Eric Church,Man Made A Bar
66,Grupo Frontera & Grupo Firme,El Amor de Su Vida
67,310babii,Soak City (Do It)
68,"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls
69,Jung Kook,Standing Next To You
70,Chayce Beckham,23
71,Bad Bunny & Feid,Perro Negro
72,Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore
73,Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
74,Zach Bryan,Oklahoma Smokeshow
75,The Red Clay Strays,Wondering Why
76,BigXthaPlug,Mmhmm
77,Rod Wave,Great Gatsby
78,Travis Scott Featuring Playboi Carti,FE!N
79,Olivia Rodrigo,Bad Idea Right?
80,"Peso Pluma, Junior H & Oscar Maydon",Rompe La Dompe
81,Dylan Scott,Can't Have Mine
82,Nicki Minaj Featuring Drake,Needle
83,Drake,Virginia Beach
84,Oliver Anthony Music,Rich Men North Of Richmond
85,Noah Kahan With Hozier,Northern Attitude
86,Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault]
87,"Juice WRLD, Eminem & benny blanco",Lace It
88,Karol G,Mi Ex Tenia Razon
89,Tate McRae,Run For The Hills
90,Drake Featuring SZA,Slime You Out
91,*NSYNC,Better Place
92,Zach Bryan,"Burn, Burn, Burn"
93,Travis Scott,My Eyes
94,Rod Wave Featuring 21 Savage,Turks & Caicos
95,Zach Bryan,Tourniquet
96,Junior H,Y Lloro
97,Sophie Ellis-Bextor,Murder On The Dancefloor
98,Karol G,Amargura
99,Lainey Wilson,Wildflowers And Wild Horses
